Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Falmouth School Department",,,"Falmouth Middle School","52 Woodville Rd, Falmouth, ME  04105",1057,518,23,4.44,8,1.54,31,5.98,Cumberland,0,43.737777967742,-70.273292129032,1
"Gorham School Department",,,"Gorham High School","41 Morrill Ave, Gorham, ME  04038",1065,855,164,19.18,18,2.11,182,21.29,Cumberland,0,43.6744175,-70.4434125,1
"Gorham School Department",,,"Gorham Middle School","106 Weeks Rd, Gorham, ME  04038",1065,655,117,17.86,15,2.29,132,20.15,Cumberland,0,43.6660082,-70.444602,1
"Gorham School Department",45.049429,-68.581212,"Great Falls Elementary School","Great Falls Elementary School, Maine",1065,529,110,20.79,7,1.32,117,22.12,Cumberland,0.67,45.049429,-68.581212,0.67
"Gorham School Department",,,"Narragansett Elementary School","284 Main St, Gorham, ME  04038",1065,257,67,26.07,9,3.5,76,29.57,Cumberland,0,43.684982,-70.425165,1
"Gorham School Department",,,"Village Elementary School-Gorham","12 Robie St, Gorham, ME 04038",1065,436,75,17.2,2,0.46,77,17.66,Cumberland,0,43.678702666667,-70.439177166667,1
"Holy Cross School S Portland",,,"Holy Cross School-S Portland","436 Broadway, South Portland, ME  04106",1408,142,19,13.38,3,2.11,22,15.49,Cumberland,0,43.636680583333,-70.247455083333,0.8
"Long Island School Department",,,"Long Island Elementary School","Long Island Elementary School, Long Island, Maine, 04050",1135,22,4,18.18,1,4.55,5,22.73,Cumberland,0,,,0
"Me Educational Ctr For The Deaf & Hard Of Hearing",,,"Governor Baxter School For The Deaf","1 Mackworth Island, Falmouth, ME  04105",1297,80,25,31.25,7,8.75,32,40,Cumberland,0,43.739280,-70.270696,0.33
"N F I North",,,"N.F.I. Bridge Crossing","15 Wayside Ave, Bridgton, ME  04009",5099,12,11,91.67,0,0,11,91.67,Cumberland,0,44.0600925,-70.711473,1
"Portland Public Schools",,,"Casco Bay High School","196 Allen Ave, Portland, ME  04103",1134,336,136,40.48,5,1.49,141,41.96,Cumberland,0,43.694148,-70.292231,1
"Portland Public Schools",,,"Deering High School","370 Stevens Ave, Portland, ME  04103",1134,932,468,50.21,35,3.76,503,53.97,Cumberland,0,43.671377333333,-70.295039,1
"Portland Public Schools",44.61617,-70.71479,"East End Community School","East End Community School, Maine",1134,428,317,74.07,11,2.57,328,76.64,Cumberland,0.67,44.616170,-70.714790,0.67
"Portland Public Schools",,,"Fred P Hall School","23 Orono Rd, Portland, ME  04102",1134,449,179,39.87,13,2.9,192,42.76,Cumberland,0,43.677905959184,-70.316131469388,1
"Portland Public Schools",,,"Harrison Lyseth Elem School","175 Auburn St, Portland, ME  04103",1134,519,167,32.18,20,3.85,187,36.03,Cumberland,0,43.7064575,-70.290079,1
"Portland Public Schools",,,"Howard C Reiche Community Sch","166 Brackett St, Portland, ME  04102",1134,364,263,72.25,8,2.2,271,74.45,Cumberland,0,43.651509,-70.268205,1
"Portland Public Schools",,,"King Middle School","92 Deering Ave, Portland, ME  04102",1134,536,269,50.19,21,3.92,290,54.1,Cumberland,0,43.657221625,-70.274056,1
"Portland Public Schools",44.478694,-69.149559,"Lincoln Middle School","522 Stevens Ave, Portland, ME  04103",1134,481,224,46.57,21,4.37,245,50.94,Cumberland,0.67,43.675779222222,-70.294811555556,1
"Portland Public Schools",,,"Longfellow School-Portland","432 Stevens Ave, Portland, ME  04103",1134,369,88,23.85,9,2.44,97,26.29,Cumberland,0,43.67399775,-70.295284916667,1
"Portland Public Schools",,,"Lyman Moore Middle School","171 Auburn St, Portland, ME  04103",1134,501,244,48.7,33,6.59,277,55.29,Cumberland,0,43.70447,-70.28963,1
"Portland Public Schools",,,"Ocean Avenue School","150 Ocean Ave, Portland, ME  04103",1134,438,202,46.12,9,2.05,211,48.17,Cumberland,0,43.676422,-70.281914,1
"Portland Public Schools",43.662809,-70.188442,"Peaks Island School","Peaks Island School, Maine",1134,52,5,9.62,6,11.54,11,21.15,Cumberland,0.67,43.662809,-70.188442,0.67
"Portland Public Schools",43.658784,-70.262393,"Portland High School","Portland High School, Maine",1134,878,422,48.06,34,3.87,456,51.94,Cumberland,0.67,43.658784,-70.262393,0.67
"Portland Public Schools",,,"Presumpscot School","69 Presumpscot St, Portland, ME  04103",1134,282,201,71.28,14,4.96,215,76.24,Cumberland,0,43.683627,-70.260515,1
"Portland Public Schools",,,"Riverton School","1600 Forest Ave, Portland, ME  04103",1134,457,325,71.12,13,2.84,338,73.96,Cumberland,0,43.696804,-70.306649,1
"Rsu 05",44.408078,-70.470703,"Freeport High School","Freeport High School, Maine",3158,516,73,14.15,27,5.23,100,19.38,Cumberland,0.67,44.408078,-70.470703,0.67
"Rsu 05",44.408078,-70.470703,"Freeport Middle School","Freeport Middle School, Maine",3158,300,57,19,11,3.67,68,22.67,Cumberland,0.67,44.408078,-70.470703,0.67
"Rsu 05",43.85758,-70.083661,"Mast Landing School","Mast Landing School, Maine",3158,273,65,23.81,5,1.83,70,25.64,Cumberland,0.53,43.857580,-70.083661,0.53
"Rsu 05",,,"Morse Street School","21 Morse St, Freeport, ME  04032",3158,274,56,20.44,6,2.19,62,22.63,Cumberland,0,43.858818146341,-70.107022073171,1
"Rsu 05",,,"Pownal Elementary School","587 Elmwood Rd, Pownal, ME  04069",3158,80,12,15,0,0,12,15,Cumberland,0,43.895005,-70.190106222222,1
"Rsu 06/ Msad 06",,,"Bonny Eagle High School","700 Saco Rd, Standish, ME  04084",1200,1173,356,30.35,81,6.91,437,37.25,Cumberland,0,43.697807698113,-70.600821471698,1
"Rsu 06/ Msad 06",,,"Edna Libby Elementary School","45 Fort Hill Rd, Standish, ME  04084",1200,287,117,40.77,17,5.92,134,46.69,Cumberland,0,43.804454,-70.554905,0.33
"Rsu 06/ Msad 06",,,"George E Jack School","15 NE Rd, Standish, ME  04084",1200,190,69,36.32,14,7.37,83,43.68,Cumberland,0,43.804454,-70.554905,0.33
"Rsu 06/ Msad 06",43.771934,-70.639561,"Steep Falls Elementary School","Steep Falls Elementary School, Maine",1200,118,40,33.9,8,6.78,48,40.68,Cumberland,0.67,43.771934,-70.639561,0.67
"Rsu 14 Raymond/Windham",,,"Jordan-Small Middle School","423 Webbs Mills Rd, Raymond, ME  04071",3162,188,56,29.79,14,7.45,70,37.23,Cumberland,0,43.936980833333,-70.445718916667,1
"Rsu 14 Raymond/Windham",44.358014,-69.867001,"Manchester School","Manchester School, Maine",3162,401,125,31.17,34,8.48,159,39.65,Cumberland,0.67,44.358014,-69.867001,0.67
"Rsu 14 Raymond/Windham",,,"Raymond Elementary School","434 Webbs Mills Rd, Raymond, ME  04071",3162,232,62,26.72,16,6.9,78,33.62,Cumberland,0,43.935901833333,-70.443715416667,1
"Rsu 14 Raymond/Windham",43.794689,-70.405329,"Windham High School","Windham High School, Maine",3162,1035,293,28.31,80,7.73,373,36.04,Cumberland,0.67,43.794689,-70.405329,0.67
"Rsu 14 Raymond/Windham",43.794689,-70.405329,"Windham Middle School","Windham Middle School, Maine",3162,600,166,27.67,47,7.83,213,35.5,Cumberland,0.67,43.794689,-70.405329,0.67
"Rsu 14 Raymond/Windham",43.794689,-70.405329,"Windham Primary School","Windham Primary School, Maine",3162,819,260,31.75,39,4.76,299,36.51,Cumberland,0.67,43.794689,-70.405329,0.67
"Rsu 15/Msad 15",,,"Burchard A Dunn School","667 Morse Rd, New Gloucester, ME  04260",1209,378,117,30.95,23,6.08,140,37.04,Cumberland,0,43.904834466667,-70.265349466667,1
"Rsu 15/Msad 15",,,"Gray-New Gloucester High School","10 Libby Hill Rd, Gray, ME  04039",1209,509,137,26.92,30,5.89,167,32.81,Cumberland,0,43.901876083333,-70.35791,1
"Rsu 15/Msad 15",,,"Gray-New Gloucester Middle School","31 Libby Hill Rd, Gray, ME  04039",1209,653,196,30.02,48,7.35,244,37.37,Cumberland,0,43.90206077551,-70.354913040816,1
"Rsu 15/Msad 15",,,"Memorial School","86 Intervale Rd, New Gloucester, ME  04260",1209,207,78,37.68,12,5.8,90,43.48,Cumberland,0,43.983707681319,-70.291373879121,1
"Rsu 15/Msad 15",,,"Russell School","8 Gray Park, Gray, ME  04039",1209,287,88,30.66,19,6.62,107,37.28,Cumberland,0,43.878567,-70.328889,0.33
"Rsu 17/Msad 17",,,"Harrison Elementary","309 Naples Rd, Harrison, ME  04040",1211,144,75,52.08,14,9.72,89,61.81,Cumberland,0,44.087090375,-70.67470171875,1
"Rsu 51/Msad 51",,,"Greely High School","303 Main St, Cumberland Center, ME  04021",1245,673,45,6.69,21,3.12,66,9.81,Cumberland,0,43.797886,-70.257511,1
"Rsu 51/Msad 51",,,"Greely Middle School","351 Tuttle Rd, Cumberland, ME  04021",1245,494,39,7.89,13,2.63,52,10.53,Cumberland,0,43.794675666667,-70.254866333333,1
"Rsu 51/Msad 51",,,"Mabel I Wilson School","353 Tuttle Rd, Cumberland, ME  04021",1245,558,55,9.86,11,1.97,66,11.83,Cumberland,0,43.794832333333,-70.255179666667,1
