dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
543,Zzz Sad 43,Zzz Mountain Valley High School,Mountain Valley High School,545,224,41.1,48,8.81,272,49.91
543,Zzz Sad 43,Zzz Mountain Valley Middle School,Mountain Valley Middle School,283,164,57.95,18,6.36,182,64.31
543,Zzz Sad 43,Zzz Rumford Elementary,Rumford Elementary,261,173,66.28,8,3.07,181,69.35
543,Zzz Sad 43,Zzz Virginia School / Pennacook Day Ce,Virginia School / Pennacook Day Ce,0,0,0,0,0,0,0
544,Zzz Sad 44,Zzz Andover Elementary School,Andover Elementary School,42,25,59.52,4,9.52,29,69.05
544,Zzz Sad 44,Zzz Crescent Park School,Crescent Park School,293,107,36.52,27,9.22,134,45.73
544,Zzz Sad 44,Zzz Telstar High School,Telstar High School,290,89,30.69,25,8.62,114,39.31
544,Zzz Sad 44,Zzz Telstar Middle School,Telstar Middle School,214,82,38.32,31,14.49,113,52.8
544,Zzz Sad 44,Zzz Woodstock School,Woodstock School,82,37,45.12,6,7.32,43,52.44
555,Zzz Sad 55,Zzz Sacopee Valley Jr-Sr H S,Sacopee Valley Jr-Sr H S,413,136,32.93,42,10.17,178,43.1
555,Zzz Sad 55,Zzz Sacopee Valley Middle School,Sacopee Valley Middle School,407,159,39.07,50,12.29,209,51.35
555,Zzz Sad 55,Zzz South Hiram Elementary Sch,South Hiram Elementary Sch,207,90,43.48,25,12.08,115,55.56
572,Zzz Sad 72,Zzz Charles A Snow School,Charles A Snow School,205,92,44.88,16,7.8,108,52.68
572,Zzz Sad 72,Zzz Denmark Elementary School,Denmark Elementary School,111,50,45.05,5,4.5,55,49.55
572,Zzz Sad 72,Zzz Molly Ockett Middle School,Molly Ockett Middle School,307,102,33.22,30,9.77,132,43
572,Zzz Sad 72,Zzz New Suncook School,New Suncook School,183,57,31.15,22,12.02,79,43.17
0,! Doe Inactive,Zzz Dr Carl E Troutt School,Dr Carl E Troutt School,48,30,62.5,3,6.25,33,68.75
9,Zzz Alton Union 090,Zzz Alton Elementary School,Alton Elementary School,52,14,26.92,8,15.38,22,42.31
27,Zzz Bangor,Zzz Abraham Lincoln School,Abraham Lincoln School,231,78,33.77,7,3.03,85,36.8
27,Zzz Bangor,Zzz Bangor High School,Bangor High School,1348,289,21.44,42,3.12,331,24.55
27,Zzz Bangor,Zzz Downeast School,Downeast School,294,220,74.83,15,5.1,235,79.93
27,Zzz Bangor,Zzz Fairmount School,Fairmount School,274,148,54.01,22,8.03,170,62.04
